iter	Passed	Remaining
408	4515	6525
409	4525	6512
410	4535	6499
411	4544	6486
412	4554	6473
413	4564	6460
414	4573	6447
415	4583	6434
416	4592	6421
417	4603	6409
418	4612	6396
419	4626	6389
420	4637	6377
421	4650	6369
422	4660	6356
423	4671	6345
424	4681	6333
425	4691	6321
426	4701	6309
427	4716	6302
428	4726	6290
429	4735	6277
430	4744	6263
431	4754	6251
432	4764	6239
433	4773	6225
434	4783	6213
435	4793	6200
436	4802	6187
437	4812	6174
438	4821	6161
439	4831	6149
440	4841	6137
441	4851	6124
442	4863	6115
443	4873	6102
444	4883	6090
445	4892	6076
446	4902	6064
447	4911	6051
448	4920	6038
449	4930	6025
450	4939	6012
451	4949	6000
452	4958	5987
453	4967	5974
454	4976	5961
455	4986	5949
456	4996	5936
457	5006	5924
458	5016	5912
459	5025	5899
460	5035	5887
461	5044	5874
462	5054	5862
463	5064	5850
464	5079	5844
465	5090	5833
466	5103	5824
467	5118	5817
468	5131	5810
469	5143	5800
470	5154	5789
471	5167	5780
472	5181	5772
473	5193	5763
474	5208	5756
475	5220	5746
476	5233	5738
477	5247	5730
478	5259	5720
479	5269	5708
480	5279	5696
481	5293	5688
482	5303	5677
483	5313	5664
484	5323	5652
485	5332	5639
486	5342	5627
487	5352	5615
488	5361	5602
489	5370	5590
490	5379	5577
491	5389	5565
492	5398	5551
493	5408	5539
494	5417	5527
495	5427	5514
496	5436	5502
497	5445	5489
498	5456	5478
499	5465	5465
500	5475	5454
501	5486	5442
502	5499	5434
503	5509	5422
504	5518	5409
505	5528	5397
506	5538	5385
507	5548	5373
508	5557	5361
509	5567	5348
510	5575	5335
511	5585	5323
512	5595	5312
513	5605	5299
514	5614	5287
515	5624	5275
516	5634	5263
517	5643	5251
518	5653	5239
519	5663	5228
520	5673	5215
521	5683	5204
522	5697	5196
523	5711	5188
524	5720	5175
525	5731	5164
526	5743	5155
527	5753	5143
528	5764	5132
529	5774	5120
530	5786	5110
531	5797	5100
532	5807	5088
533	5817	5077
534	5827	5064
535	5837	5053
536	5846	5040
537	5856	5029
538	5867	5018
539	5877	5006
540	5886	4994
541	5897	4983
542	5907	4972
543	5920	4962
544	5931	4951
545	5941	4940
546	5950	4928
547	5960	4916
548	5969	4904
549	5980	4892
550	5990	4881
551	5999	4869
552	6010	4858
553	6019	4846
554	6031	4836
555	6042	4825
556	6053	4814
557	6065	4804
558	6077	4794
559	6087	4783
560	6099	4772
561	6110	4762
562	6121	4751
563	6133	4741
564	6145	4731
565	6157	4721
566	6166	4709
567	6178	4698
568	6191	4689
569	6202	4678
570	6214	4668
571	6225	4658
572	6237	4647
573	6247	4636
574	6259	4626
575	6271	4616
576	6281	4604
577	6293	4594
578	6305	4585
579	6315	4573
580	6328	4563
581	6339	4553
582	6354	4545
583	6363	4533
584	6376	4523
585	6388	4513
586	6397	4501
587	6409	4491
588	6421	4480
589	6430	4468
590	6441	4458
591	6451	4446
592	6461	4435
593	6472	4423
594	6482	4412
595	6491	4400
596	6501	4389
597	6511	4377
598	6521	4365
599	6531	4354
600	6542	4343
601	6551	4331
602	6564	4322
603	6574	4310
604	6585	4299
605	6595	4288
606	6605	4276
607	6615	4265
608	6624	4253
609	6634	4241
610	6644	4230
611	6654	4218
612	6664	4207
613	6674	4195
614	6687	4186
615	6697	4174
616	6706	4163
617	6716	4151
618	6726	4140
619	6736	4128
620	6746	4117
621	6756	4105
622	6767	4095
623	6780	4085
624	6789	4073
625	6799	4062
626	6809	4050
627	6818	4039
628	6828	4027
629	6837	4015
630	6847	4004
631	6857	3992
632	6868	3982
633	6881	3972
634	6892	3961
635	6903	3950
636	6915	3940
637	6927	3930
638	6937	3919
639	6949	3909
640	6961	3898
641	6971	3887
642	6981	3876
643	6996	3867
644	7007	3856
645	7017	3845
646	7031	3836
647	7043	3825
648	7052	3814
649	7063	3803
650	7075	3792
651	7085	3781
652	7095	3770
653	7105	3759
654	7115	3747
655	7124	3736
656	7134	3724
657	7143	3712
658	7153	3701
659	7167	3692
660	7181	3682
661	7191	3671
662	7204	3661
663	7214	3650
664	7227	3640
665	7239	3630
666	7248	3618
667	7260	3608
668	7272	3598
669	7283	3587
670	7293	3576
671	7305	3565
672	7316	3554
673	7326	3543
674	7337	3532
675	7347	3521
676	7358	3510
677	7367	3499
678	7378	3488
679	7388	3476
680	7399	3466
681	7410	3455
682	7423	3445
683	7435	3434
684	7446	3424
685	7457	3413
686	7470	3403
687	7480	3392
688	7492	3381
689	7504	3371
690	7514	3360
691	7525	3349
692	7539	3340
693	7551	3329
694	7561	3318
695	7573	3308
696	7585	3297
697	7595	3286
698	7604	3274
699	7614	3263
700	7627	3253
701	7636	3241
702	7647	3230
703	7659	3220
704	7670	3209
705	7680	3198
706	7689	3186
707	7699	3175
708	7709	3164
709	7719	3153
710	7729	3141
711	7738	3130
712	7748	3119
713	7758	3107
714	7767	3096
715	7777	3085
716	7787	3073
717	7796	3062
718	7806	3051
719	7818	3040
720	7831	3030
721	7844	3020
722	7854	3009
723	7869	2999
724	7883	2990
725	7895	2979
726	7905	2968
727	7917	2958
728	7929	2947
729	7939	2936
730	7949	2925
731	7960	2914
732	7971	2903
733	7983	2893
734	7995	2882
735	8005	2871
736	8017	2861
737	8033	2851
738	8044	2841
739	8060	2832
740	8074	2822
741	8085	2811
742	8096	2800
743	8110	2790
744	8121	2779
745	8132	2768
746	8147	2759
747	8161	2749
748	8173	2738
749	8183	2727
750	8195	2717
751	8207	2706
752	8217	2695
753	8226	2684
754	8239	2673
755	8250	2662
756	8262	2652
757	8273	2641
758	8284	2630
759	8296	2619
760	8309	2609
761	8321	2599
762	8332	2588
763	8344	2577
764	8356	2566
765	8367	2556
766	8377	2544
767	8390	2534
768	8400	2523
769	8411	2512
770	8423	2501
771	8435	2491
772	8445	2480
773	8456	2469
774	8467	2458
775	8478	2447
776	8489	2436
777	8507	2427
778	8535	2421
779	8556	2413
780	8570	2403
781	8585	2393
782	8598	2382
783	8612	2372
784	8623	2361
785	8635	2351
786	8648	2340
787	8663	2330
788	8676	2320
789	8687	2309
790	8701	2299
791	8714	2288
792	8728	2278
793	8742	2268
794	8753	2257
795	8767	2247
796	8782	2236
797	8795	2226
798	8807	2215
799	8817	2204
800	8829	2193
801	8841	2182
802	8851	2171
803	8862	2160
804	8872	2149
805	8883	2138
806	8897	2127
807	8908	2116
808	8917	2105
809	8927	2094
810	8937	2082
811	8947	2071
812	8957	2060
813	8967	2049
814	8982	2038
815	8993	2027
816	9003	2016
817	9013	2005
818	9022	1994
819	9032	1982
820	9043	1971
821	9052	1960
822	9061	1948
823	9072	1937
824	9081	1926
825	9092	1915
826	9101	1904
827	9111	1892
828	9123	1882
829	9135	1871
830	9145	1859
831	9155	1848
832	9164	1837
833	9174	1826
834	9184	1814
835	9193	1803
836	9204	1792
837	9214	1781
838	9224	1770
839	9234	1758
840	9244	1747
841	9254	1736
842	9264	1725
843	9274	1714
844	9284	1703
845	9293	1691
846	9304	1680
847	9314	1669
848	9324	1658
849	9334	1647
850	9343	1635
851	9353	1624
852	9362	1613
853	9372	1602
854	9382	1591
855	9392	1580
856	9402	1568
857	9412	1557
858	9421	1546
859	9431	1535
860	9441	1524
861	9451	1513
862	9461	1502
863	9470	1490
864	9480	1479
865	9490	1468
866	9500	1457
867	9511	1446
868	9521	1435
869	9533	1424
870	9547	1414
871	9559	1403
872	9571	1392
873	9582	1381
874	9594	1370
875	9605	1359
876	9617	1348
877	9630	1338
878	9641	1327
879	9653	1316
880	9666	1305
881	9680	1295
882	9692	1284
883	9706	1273
884	9719	1262
885	9744	1253
886	9756	1242
887	9768	1232
888	9781	1221
889	9792	1210
890	9802	1199
891	9812	1188
892	9822	1176
893	9831	1165
894	9842	1154
895	9852	1143
896	9862	1132
897	9871	1121
898	9881	1110
899	9890	1098
900	9900	1087
901	9909	1076
902	9918	1065
903	9928	1054
904	9938	1043
905	9948	1032
906	9958	1021
907	9968	1009
908	9977	998
909	9986	987
910	9995	976
911	10004	965
912	10014	954
913	10024	943
914	10034	932
915	10043	921
916	10053	909
917	10062	898
918	10072	887
919	10081	876
920	10090	865
921	10101	854
922	10114	843
923	10125	832
924	10135	821
925	10144	810
926	10153	799
927	10163	788
928	10172	777
929	10182	766
930	10191	755
931	10201	744
932	10211	733
933	10221	722
934	10231	711
935	10240	700
936	10250	689
937	10259	678
938	10269	667
939	10279	656
940	10290	645
941	10300	634
942	10309	623
943	10320	612
944	10329	601
945	10339	590
946	10348	579
947	10358	568
948	10367	557
949	10377	546
950	10386	535
951	10397	524
952	10407	513
953	10416	502
954	10426	491
955	10435	480
956	10445	469
957	10454	458
958	10465	447
959	10474	436
960	10485	425
961	10495	414
962	10504	403
963	10515	392
964	10525	381
965	10534	370
966	10544	359
967	10554	348
968	10563	337
969	10573	327
970	10583	316
971	10593	305
972	10603	294
973	10615	283
974	10624	272
975	10634	261
976	10643	250
977	10654	239
978	10663	228
979	10673	217
980	10682	206
981	10692	195
982	10701	185
983	10711	174
984	10722	163
985	10731	152
986	10741	141
987	10751	130
988	10761	119
989	10771	108
990	10780	97
991	10790	87
992	10800	76
993	10811	65
994	10820	54
995	10829	43
996	10839	32
997	10849	21
998	10858	10
999	10868	0
