iter	MultiClass
0	1.547010993
1	1.281013969
2	1.099906721
3	0.9665869986
4	0.8579616784
5	0.774516012
6	0.7046452308
7	0.645249036
8	0.5958561961
9	0.5534177953
10	0.517618304
11	0.4859406818
12	0.4578722358
13	0.4342329125
14	0.4130807026
15	0.3947903062
16	0.3794225113
17	0.3652069529
18	0.3527650713
19	0.3417940453
20	0.3319438493
21	0.3232934489
22	0.3158114622
23	0.3097492944
24	0.3042738949
25	0.2990470745
26	0.2941135378
27	0.2900378874
28	0.2862172909
29	0.2826991261
30	0.2797994893
31	0.2769156156
32	0.2740747163
33	0.2714697546
34	0.2693788579
35	0.2673585142
36	0.2651658409
37	0.2633703175
38	0.26133096
39	0.2598092726
40	0.2581696369
41	0.2569842893
42	0.255508481
43	0.2542919712
44	0.2532375384
45	0.2522156817
46	0.2509333149
47	0.2496224522
48	0.2485892177
49	0.2476702827
50	0.2464758124
51	0.245466888
52	0.2441633042
53	0.2432345441
54	0.2422401423
55	0.2411010371
56	0.2400461899
57	0.238941506
58	0.2377409886
59	0.2370227966
60	0.2362373198
61	0.2353258764
62	0.2345719443
63	0.2336231241
64	0.2325853177
65	0.2321495259
66	0.2311364101
67	0.2305495025
68	0.2296474799
69	0.2289154403
70	0.2281795674
71	0.227507006
72	0.2265332279
73	0.2260248843
74	0.2253702915
75	0.2247203481
76	0.2237102603
77	0.2228910954
78	0.22197989
79	0.2210176846
80	0.2201454434
81	0.2194988318
82	0.2189378701
83	0.2182572772
84	0.2173888174
85	0.2165510049
86	0.2156812911
87	0.2148921544
88	0.2141676869
89	0.2134537779
90	0.2128722766
91	0.212000791
92	0.2110984856
93	0.2103192473
94	0.2098001298
95	0.2091652142
96	0.2083998755
97	0.2078425113
98	0.207336931
99	0.2068104854
100	0.2061785869
101	0.2055713936
102	0.204883178
103	0.2041890328
104	0.2034950591
105	0.2029208986
106	0.2022957391
107	0.2016634074
108	0.2009383259
109	0.2003151753
110	0.1995615848
111	0.1989930739
112	0.1981058242
113	0.1977196159
114	0.1972223605
115	0.1967829968
116	0.1961723998
117	0.1954787584
118	0.1949883357
119	0.1944289681
120	0.1939500791
121	0.1933590898
122	0.1928580234
123	0.1925554929
124	0.1917211108
125	0.1912418634
126	0.1908749533
127	0.1902004864
128	0.1895357351
129	0.1891052695
130	0.1885924169
131	0.1881660819
132	0.1875951105
133	0.1872200877
134	0.1867450624
135	0.1860879723
136	0.1854300517
137	0.184726373
138	0.1841565395
139	0.1836527995
140	0.1831605899
141	0.1824601934
142	0.182082835
143	0.1815560992
144	0.1810403768
145	0.1806362887
146	0.1797384074
147	0.1793816973
148	0.178735072
149	0.1782585914
150	0.177860769
151	0.1775393853
152	0.1770399987
153	0.176601044
154	0.176088376
155	0.1757226179
156	0.175017068
157	0.1745371074
158	0.1741639784
159	0.1735566522
160	0.1730085189
161	0.1726048195
162	0.1721273397
163	0.1713721781
164	0.1708077091
165	0.1703259106
166	0.1698355265
167	0.1694454154
168	0.1689615623
169	0.1683678908
170	0.167568973
171	0.1672044593
172	0.1666857651
173	0.1660383391
174	0.1655910874
175	0.1650701482
176	0.164408621
177	0.163810866
178	0.1635889185
179	0.1632262728
180	0.16278183
181	0.1624704152
182	0.1620290604
183	0.1616265338
184	0.1609262004
185	0.1606569068
186	0.1601075924
187	0.1595962652
188	0.1591404272
189	0.1588584197
190	0.1584537025
191	0.1581469944
192	0.1575948709
193	0.1573015963
194	0.156535402
195	0.1560794521
196	0.155571009
197	0.1551840306
198	0.1547031289
199	0.1543214363
200	0.1539330553
201	0.1534932513
202	0.1529492016
203	0.1525950892
204	0.1522577128
205	0.1520085733
206	0.151447562
207	0.1509674463
208	0.1505653289
209	0.1501741809
210	0.1497820699
211	0.1493787784
212	0.1490255077
213	0.1486691186
214	0.1482540146
215	0.1478158044
216	0.1472236308
217	0.1468789844
218	0.1464430073
219	0.1460560203
220	0.1456908928
221	0.1452197931
222	0.1445962359
223	0.1443129585
224	0.1438876081
225	0.1433682579
226	0.1430863346
227	0.1427896656
228	0.142299268
229	0.1418239372
230	0.1414382442
231	0.1408821831
232	0.1406761309
233	0.1400855894
234	0.1399421766
235	0.1396770195
236	0.1392660535
237	0.1385976122
238	0.1382944711
239	0.1378974863
240	0.1376456644
241	0.1373231073
242	0.1366600498
243	0.1362343213
244	0.1358687639
245	0.1354573245
246	0.1351727542
247	0.1347310846
248	0.1343495772
249	0.1340563686
250	0.1337239932
251	0.1330939415
252	0.1327533576
253	0.1325312985
254	0.132229175
255	0.131970687
256	0.1318638274
257	0.1315633362
258	0.1309572971
259	0.1306887084
260	0.1303331672
