iter	MultiClass
261	0.1300672441
262	0.1298507081
263	0.1294250569
264	0.1290814871
265	0.1288282083
266	0.1285490343
267	0.1280660753
268	0.1277528718
269	0.1274146044
270	0.127181374
271	0.1269083857
272	0.1266608121
273	0.1263406544
274	0.1259928505
275	0.1257566171
276	0.1253871374
277	0.1252047545
278	0.1247833164
279	0.1244641539
280	0.1241560428
281	0.1238383951
282	0.1236475969
283	0.1233931831
284	0.1231581219
285	0.1227759721
286	0.1224540872
287	0.1222243461
288	0.1218633633
289	0.1216100184
290	0.121208458
291	0.1209931045
292	0.1208021607
293	0.120621491
294	0.1203608435
295	0.1201087045
296	0.1199112811
297	0.1197264784
298	0.1193346705
299	0.1189876136
300	0.1187433293
301	0.1183901254
302	0.1180518335
303	0.1178004677
304	0.1175732838
305	0.1172819864
306	0.1169910715
307	0.1166521028
308	0.1164550069
309	0.1162768967
310	0.1159639039
311	0.115629823
312	0.1154432543
313	0.1151093321
314	0.1147623907
315	0.1144569938
316	0.1141697469
317	0.1139889795
318	0.1136758768
319	0.1133807109
320	0.1131312897
321	0.1127323995
322	0.1124843354
323	0.1120853527
324	0.1117697444
325	0.1115066234
326	0.1110915506
327	0.1107028576
328	0.1105037816
329	0.1102762894
330	0.110030777
331	0.1097164706
332	0.1095659338
333	0.1090859194
334	0.1088306848
335	0.1086183314
336	0.1083298634
337	0.1080874832
338	0.1077817306
339	0.1076094203
340	0.1073184581
341	0.1070716766
342	0.1068604799
343	0.1066791764
344	0.1064683313
345	0.1062904338
346	0.1061056193
347	0.1057810493
348	0.1055133914
349	0.1051273145
350	0.1048794236
351	0.1043020638
352	0.1040343096
353	0.103682584
354	0.1034890032
355	0.1032481069
356	0.1029323567
357	0.1026697826
358	0.1023297338
359	0.1020322995
360	0.1017574146
361	0.1015922815
362	0.101248288
363	0.1009970759
364	0.1007598441
365	0.1005705872
366	0.1002472732
367	0.1000022887
368	0.09975965919
369	0.09949773346
370	0.09935808673
371	0.09900880724
372	0.09863372676
373	0.09824663651
374	0.09797116171
375	0.09781053582
376	0.09767158415
377	0.09740034512
378	0.09718545719
379	0.0968611148
380	0.09657002568
381	0.09633988028
382	0.0961128253
383	0.09594869326
384	0.09577803141
385	0.09546867616
386	0.09515140541
387	0.09486285997
388	0.09452872675
389	0.09435056105
390	0.09408444464
391	0.09385442615
392	0.0936865027
393	0.09351114924
394	0.09332800589
395	0.09320197127
396	0.09301868652
397	0.09272308252
398	0.09252087484
399	0.09227132964
400	0.09190759646
401	0.09162652362
402	0.09131570073
403	0.09115877247
404	0.09090805465
405	0.09071851537
406	0.09052572809
407	0.09036506649
408	0.09005196125
409	0.08981436485
410	0.08947619583
411	0.08928928591
412	0.0890664005
413	0.08883339564
414	0.08863142131
415	0.08851461069
416	0.08828013252
417	0.08808428016
418	0.08791137705
419	0.08769330636
420	0.08756920484
421	0.08738690569
422	0.08722232128
423	0.08705426312
424	0.08682738064
425	0.08662500029
426	0.08645503075
427	0.08613032008
428	0.0859609643
429	0.0858208272
430	0.08565964848
431	0.08557611593
432	0.08539228852
433	0.08523746855
434	0.08511193682
435	0.08501727273
436	0.08478938714
437	0.08457934793
438	0.08440037422
439	0.08424970862
440	0.08395294162
441	0.08371587336
442	0.08353348238
443	0.08336562517
444	0.08318410183
445	0.08301358733
446	0.08270208777
447	0.0825515461
448	0.08233933733
449	0.08207010637
450	0.08191919721
451	0.0817062632
452	0.08150001125
453	0.08127678367
454	0.08112916615
455	0.08086208142
456	0.08066469916
457	0.08048220222
458	0.08034312005
459	0.08014145657
460	0.07999939023
461	0.07979725503
462	0.07952025455
463	0.07939855588
464	0.07930350027
465	0.0791186755
466	0.07892483847
467	0.07872735404
468	0.07854925903
469	0.07833700715
470	0.07821806801
471	0.07811119671
472	0.07788102156
473	0.07764193893
474	0.07743255242
475	0.07726221855
476	0.07715586143
477	0.07698650811
478	0.07684670611
479	0.07670271937
480	0.0765321113
481	0.07638347235
482	0.07624179538
483	0.07615000298
484	0.07604852529
485	0.07596959129
486	0.07590461265
487	0.0756685895
488	0.07554256677
489	0.07542067288
490	0.07524822823
491	0.07511060974
492	0.07501809618
493	0.07486289106
494	0.07477634458
495	0.07464999686
496	0.0745106545
497	0.07428237884
498	0.07408160544
499	0.07395266131
